file,MAE,error
000241.pth,,'Ground truth not found'
000242.pth,,'Ground truth not found'
000243.pth,,'Ground truth not found'
000244.pth,,'Ground truth not found'
000245.pth,,'Ground truth not found'
000246.pth,,'Ground truth not found'
000247.pth,,'Ground truth not found'
000248.pth,,'Ground truth not found'
000249.pth,,'Ground truth not found'
000250.pth,,'Ground truth not found'
000251.pth,,'Ground truth not found'
000252.pth,,'Ground truth not found'
000253.pth,,'Ground truth not found'
000254.pth,,'Ground truth not found'
000255.pth,,'Ground truth not found'
000256.pth,978609.375,
000257.pth,978557.3125,
000258.pth,978550.625,
000259.pth,978532.375,
000260.pth,978580.6875,
000261.pth,978556.5,
000262.pth,978497.1875,
000263.pth,978551.8125,
000264.pth,978602.875,
000265.pth,978633.0,
000266.pth,978614.5,
000267.pth,978739.3125,
000268.pth,978711.0,
000269.pth,978724.3125,
000270.pth,978739.8125,
000271.pth,978706.1875,
000272.pth,978668.625,
000273.pth,978598.6875,
000274.pth,978576.125,
000275.pth,978767.5,
000276.pth,978731.375,
000277.pth,978750.375,
000278.pth,978780.6875,
000279.pth,978800.0,
000280.pth,978821.625,
000281.pth,978821.6875,
000282.pth,978811.1875,
000283.pth,978812.0,
000284.pth,978918.1875,
000285.pth,978912.125,
000286.pth,978914.8125,
000287.pth,978924.5,
000288.pth,978928.8125,
000289.pth,978921.8125,
000290.pth,978910.625,
000291.pth,978889.6875,
000292.pth,978860.1875,
000293.pth,978848.1875,
000294.pth,979028.375,
000295.pth,979010.375,
000296.pth,979000.875,
000297.pth,979012.3125,
000298.pth,979026.125,
000299.pth,979036.375,
000300.pth,979037.625,
000301.pth,979030.625,
000302.pth,979025.0,
000303.pth,979026.625,
000304.pth,979028.125,
000305.pth,,'Ground truth not found'
000306.pth,,'Ground truth not found'
000307.pth,,'Ground truth not found'
000308.pth,,'Ground truth not found'
000309.pth,,'Ground truth not found'
000310.pth,,'Ground truth not found'
000311.pth,,'Ground truth not found'
000312.pth,,'Ground truth not found'
000313.pth,,'Ground truth not found'
000314.pth,,'Ground truth not found'
000315.pth,,'Ground truth not found'
000316.pth,,'Ground truth not found'
000317.pth,,'Ground truth not found'
000318.pth,,'Ground truth not found'
000319.pth,,'Ground truth not found'
000320.pth,978565.8125,
000321.pth,978546.1875,
000322.pth,978529.8125,
000323.pth,978545.5,
000324.pth,978617.125,
000325.pth,978592.125,
000326.pth,978528.8125,
000327.pth,978539.8125,
000328.pth,978529.3125,
000329.pth,978535.5,
000330.pth,978551.1875,
000331.pth,978646.0,
000332.pth,978624.5,
000333.pth,978614.3125,
000334.pth,978599.8125,
000335.pth,978602.3125,
000336.pth,978588.625,
000337.pth,978565.875,
000338.pth,978571.1875,
000339.pth,978760.375,
000340.pth,978698.0,
000341.pth,978691.625,
000342.pth,978696.5,
000343.pth,978703.625,
000344.pth,978700.625,
000345.pth,978708.6875,
000346.pth,978716.0,
000347.pth,978728.375,
000348.pth,978843.375,
000349.pth,978821.5,
000350.pth,978808.375,
000351.pth,978804.375,
